sid,loam,itdc,mana,eci,buetc,intpr,st,cala,calb,ec,ac,sadm,mis,cppg,dtst,opsy,oopg,pcpg,adcpg,itmuis,nwkpm,itdcn,inkpg,idbs,dbms,boodis
SD970612 ,1,77,67,86,94,82,95,60,60,89,86,78,95,67,80,97,87,67,60,91,98,97,94,80,85,80
SD970613 ,1,62,77,71,88,56,80,60,60,72,51,65,96,71,79,76,60,70,40,72,46,56,90,50,74,80
SD970615 ,0,62,24,60,0,44,11,60,45,60,60,50,0,46,64,0,37,60,52,33,61,34,0,40,0,0
SD970616 ,0,76,61,81,83,70,72,60,93,64,63,72,82,60,61,84,48,60,60,66,60,65,87,60,74,80
SD970617 ,0,74,48,60,60,48,74,60,40,64,49,77,78,85,69,75,60,85,48,60,26,44,87,63,65,78
SD970618 ,0,62,63,84,83,70,66,60,60,61,68,80,72,44,65,80,62,60,60,87,60,51,94,61,60,75
SD970623 ,1,88,90,88,82,82,87,70,90,84,77,98,80,96,88,87,80,92,80,89,93,87,100,80,86,94
SD970624 ,0,52,81,87,71,62,60,77,64,67,42,76,84,79,70,80,70,63,64,80,60,62,80,60,86,88
SD970625 ,0,50,96,74,80,61,60,60,60,68,56,68,71,40,67,71,75,60,0,85,60,74,100,62,72,86
SD970626 ,1,70,79,88,86,70,60,60,60,70,54,86,92,70,75,80,82,73,68,89,70,73,91,81,85,92
SD970627 ,1,90,84,86,91,55,60,60,62,61,64,79,67,83,79,66,76,87,80,87,61,80,100,60,78,88
SD970628 ,0,76,91,82,78,69,66,60,61,72,81,88,75,75,77,77,79,75,72,91,88,79,94,77,79,82
SD970629 ,1,84,88,88,98,75,60,60,72,66,61,94,84,62,74,73,82,66,61,88,67,87,93,74,70,86
SD970630 ,0,74,95,90,91,76,60,60,60,73,81,84,82,82,82,82,81,82,68,93,84,87,94,76,84,86
SD970633 ,0,93,89,90,98,93,82,60,71,69,87,83,80,98,79,85,88,96,87,90,88,88,99,78,84,93
SD970634 ,0,88,94,95,97,78,62,60,65,70,83,90,80,94,82,76,80,93,71,91,90,87,100,77,85,86
SD970636 ,0,78,91,90,80,72,61,60,64,60,80,89,73,87,79,66,85,87,65,85,71,90,94,60,78,86
SD970637 ,1,76,78,88,96,80,65,60,60,73,76,88,83,63,78,75,79,67,60,87,69,78,96,67,76,86
SD970638 ,1,75,65,80,60,60,60,60,60,75,65,65,1,66,80,64,71,75,60,89,63,72,82,68,70,88
SD970639 ,1,78,94,95,85,60,79,60,82,75,60,98,81,45,70,72,76,63,60,87,65,86,94,64,72,86
SD970640 ,0,88,81,96,87,94,93,60,74,73,60,87,75,41,74,78,73,65,66,86,83,87,99,76,87,86
SD970641 ,1,86,95,88,99,70,60,60,70,69,62,94,93,62,71,76,84,67,62,89,69,83,93,75,76,86
SD970642 ,0,74,79,92,97,78,66,80,62,69,65,85,77,60,74,71,83,64,61,89,89,81,94,79,84,90
SD970643 ,1,51,83,83,94,68,42,60,72,69,60,68,64,45,71,70,64,64,60,65,55,76,100,60,74,84
SD970646 ,0,72,87,84,78,60,60,63,60,63,69,67,60,63,77,70,71,71,63,80,80,68,93,60,78,82
SD970647 ,1,79,72,98,99,74,81,64,64,75,88,90,88,60,75,77,71,65,65,83,77,78,100,69,85,86
SD970648 ,0,78,83,62,90,53,60,60,60,71,60,66,71,60,70,73,70,65,60,87,72,81,91,62,70,86
SD970649 ,1,89,85,88,81,66,60,71,60,70,66,85,82,65,70,75,73,72,60,82,60,68,100,78,80,82
SD970650 ,0,81,93,85,87,70,71,60,60,72,74,82,67,65,77,63,82,67,61,87,74,81,94,60,74,86
SD970651 ,1,71,78,78,76,60,80,60,60,67,61,61,70,64,69,48,75,71,60,83,60,73,100,63,85,84
SD970652 ,0,88,85,93,0,66,13,60,70,63,60,65,70,61,66,76,54,79,73,91,47,86,39,45,80,0
SD970653 ,0,89,95,95,91,87,68,70,85,70,62,95,80,60,78,82,84,64,60,87,83,81,99,72,78,90
SD970655 ,0,82,81,75,74,66,60,60,60,64,75,75,1,73,72,66,73,77,60,86,50,77,100,63,77,84
SD970656 ,0,89,93,90,90,78,86,60,75,72,75,93,80,93,82,80,78,92,67,88,83,88,100,82,82,88
SD970657 ,0,91,96,93,93,100,100,66,68,84,80,90,83,90,80,76,94,88,95,85,85,92,94,82,88,84
SD970658 ,1,71,82,70,76,85,60,60,60,68,78,60,75,62,67,70,75,66,60,79,60,82,100,66,63,82
SD970659 ,0,95,97,95,93,79,69,60,68,95,86,88,84,74,88,81,83,78,60,93,92,89,100,88,92,86
SD970660 ,0,88,92,98,94,100,90,67,75,79,71,94,91,62,77,77,83,67,60,87,84,86,100,79,77,86
SD970661 ,0,79,84,92,90,62,60,80,60,66,74,62,71,43,67,64,57,65,60,87,87,76,100,67,81,86
SD970662 ,1,70,82,71,0,66,35,46,40,69,70,50,0,40,63,0,70,62,0,82,60,55,0,45,0,0
SD970663 ,0,97,71,94,90,78,60,60,60,69,78,80,75,98,85,77,83,96,67,94,90,87,100,84,90,88
