acyr,semr,sid,loam
98,2,SD970683 ,45165
98,2,SD970684 ,45165
98,2,SD970689 ,14346
98,2,SD970693 ,45165
98,2,SD970699 ,23165
98,2,SD970702 ,45165
98,2,SD970703 ,45165
98,2,SD970705 ,45165
98,2,SD970708 ,18165
98,2,SD970709 ,45165
98,2,SD970714 ,10165
98,2,SD970719 ,45165
98,2,SD970725 ,48165
98,2,SD970728 ,45165
98,2,SD970730 ,10165
98,2,SD970731 ,53165
98,2,SD970733 ,45165
98,2,SD970735 ,45165
98,2,SD970736 ,45165
98,2,SD970740 ,45165
98,2,SD970741 ,44290
98,2,SD970745 ,9290
98,2,SD970746 ,44290
98,2,SD970751 ,9290
98,2,SD970752 ,44290
98,2,SD970757 ,44290
98,2,SD970759 ,44290
98,2,SD970761 ,44290
98,2,SD970763 ,32290
98,2,SD970777 ,22290
98,2,SD970781 ,32290
98,2,SD970782 ,44290
98,2,SD970788 ,44290
98,2,SD970796 ,52290
98,2,SD970800 ,44290
98,2,SD970802 ,35290
98,2,SD970805 ,9290
98,2,SD970807 ,44290
98,2,SD970812 ,44290
98,2,SD970816 ,44290
98,2,SD970817 ,44290
98,2,SD970819 ,44290
98,2,SD970821 ,44290
98,2,SD970822 ,47290
98,2,SD970831 ,44290
98,2,SD970833 ,44290
98,2,SD970835 ,44290
98,2,SD970837 ,44290
98,2,SD970838 ,44290
98,2,SD970841 ,44290
98,2,SD970842 ,59190
98,2,SD970844 ,9290
98,2,SD970848 ,44290
98,2,SD970856 ,52290
98,2,SD970857 ,44290
99,1,SD970225 ,56140
99,1,SD970226 ,44240
99,1,SD970232 ,44240
99,1,SD970233 ,44240
99,1,SD970236 ,44240
99,1,SD970242 ,44240
99,1,SD970243 ,44240
99,1,SD970244 ,44240
99,1,SD970246 ,44240
99,1,SD970251 ,44240
99,1,SD970252 ,44240
99,1,SD970254 ,44240
99,1,SD970255 ,44240
99,1,SD970256 ,44240
99,1,SD970257 ,44240
99,1,SD970258 ,44240
99,1,SD970262 ,44240
99,1,SD970264 ,47240
99,1,SD970268 ,44240
99,1,SD970270 ,44240
99,1,SD970275 ,59140
99,1,SD970285 ,44240
99,1,SD970286 ,44240
99,1,SD970287 ,44240
99,1,SD970294 ,44240
99,1,SD970296 ,26629
99,1,SD970297 ,44240
99,1,SD970298 ,44240
99,1,SD970300 ,47240
99,1,SD970301 ,44240
99,1,SD970302 ,44240
99,1,SD970304 ,44240
99,1,SD970305 ,47240
99,1,SD970308 ,44240
99,1,SD970310 ,44240
99,1,SD970313 ,44240
99,1,SD970314 ,44240
99,1,SD970315 ,44240
99,1,SD970321 ,44240
99,1,SD970322 ,44240
99,1,SD970323 ,44240
99,1,SD970329 ,17824
99,1,SD970330 ,44240
99,1,SD970335 ,44240
99,1,SD970339 ,44240
99,1,SD970344 ,44240
99,1,SD970346 ,44240
99,1,SD970347 ,44240
99,1,SD970349 ,44240
99,1,SD970354 ,56140
99,1,SD970357 ,44240
99,1,SD970364 ,44240
99,1,SD970369 ,44240
99,1,SD970372 ,44240
99,1,SD970374 ,44240
99,1,SD970375 ,44240
99,1,SD970376 ,44240
99,1,SD970381 ,44240
99,1,SD970382 ,47240
99,1,SD970386 ,44240
99,1,SD970391 ,44240
99,1,SD970392 ,44240
99,1,SD970397 ,47240
99,1,SD970398 ,44240
99,1,SD970400 ,44240
99,1,SD970401 ,44240
99,1,SD970403 ,44240
99,1,SD970411 ,23836
99,1,SD970415 ,44240
99,1,SD970417 ,47240
99,1,SD970418 ,44240
99,1,SD970420 ,44240
99,1,SD970421 ,44240
99,1,SD970424 ,44240
99,1,SD970426 ,44240
99,1,SD970429 ,45115
99,1,SD970431 ,26629
99,1,SD970432 ,44240
99,1,SD970433 ,44240
99,1,SD970434 ,44240
99,1,SD970435 ,44240
99,1,SD970436 ,44240
99,1,SD970437 ,52240
99,1,SD970438 ,44240
99,1,SD970441 ,44240
99,1,SD970442 ,44240
99,1,SD970446 ,44240
99,1,SD970447 ,44240
99,1,SD970452 ,44240
99,1,SD970454 ,44240
99,1,SD970455 ,44240
99,1,SD970460 ,44240
99,1,SD970463 ,44240
99,1,SD970467 ,44240
99,1,SD970470 ,44240
99,1,SD970471 ,44240
99,1,SD970475 ,44240
99,1,SD970477 ,26629
99,1,SD970482 ,44240
99,1,SD970487 ,44240
99,1,SD970488 ,44240
99,1,SD970494 ,44240
99,1,SD970495 ,44240
99,1,SD970500 ,44240
99,1,SD970503 ,44240
99,1,SD970504 ,44240
99,1,SD970507 ,44240
99,1,SD970508 ,44240
99,1,SD970512 ,44240
99,1,SD970522 ,44240
99,1,SD970529 ,44240
99,1,SD970533 ,44240
99,1,SD970534 ,44240
99,1,SD970543 ,44240
99,1,SD970544 ,44240
99,1,SD970547 ,44240
99,1,SD970549 ,44240
99,1,SD970550 ,44240
99,1,SD970561 ,44240
99,1,SD970563 ,56115
99,1,SD970566 ,45115
99,1,SD970567 ,45115
99,1,SD970568 ,45115
99,1,SD970570 ,45115
99,1,SD970574 ,45115
99,1,SD970575 ,45115
99,1,SD970576 ,45115
99,1,SD970580 ,60015
99,1,SD970581 ,45115
99,1,SD970582 ,45115
99,1,SD970584 ,45115
99,1,SD970592 ,45115
99,1,SD970594 ,45115
99,1,SD970598 ,45115
99,1,SD970606 ,45115
99,1,SD970608 ,45115
99,1,SD970609 ,45115
99,1,SD970611 ,45115
99,1,SD970612 ,18699
99,1,SD970613 ,60015
99,1,SD970620 ,44027
99,1,SD970622 ,48115
99,1,SD970623 ,45115
99,1,SD970627 ,45115
99,1,SD970629 ,45115
99,1,SD970637 ,45115
99,1,SD970638 ,45115
99,1,SD970639 ,18699
99,1,SD970641 ,35504
99,1,SD970643 ,45115
99,1,SD970647 ,48115
99,1,SD970649 ,45115
99,1,SD970651 ,45115
99,1,SD970654 ,45115
99,1,SD970658 ,45115
99,1,SD970662 ,45115
99,1,SD970678 ,45115
99,1,SD970680 ,45115
99,1,SD970681 ,45115
99,1,SD970683 ,45115
99,1,SD970684 ,45115
99,1,SD970686 ,48115
99,1,SD970689 ,14296
99,1,SD970692 ,45115
99,1,SD970693 ,45115
99,1,SD970699 ,45115
